tid,id,tweet_text,label_awareness_infection,label_self_other,label_related_notrelated
5926297601,1,don't worry it's not swine flu  i already got the shot against it like 3 weeks ago.,1,1,-1
5365456905,2,I need some opinions in regards of the SwineFlu vaccine.  I am really concerned since the last 2 times my kids got the shot they got the flu,1,1,-1
5293804207,3,@greeneyes730 and u should be getting the flu shot with your little people. can u get it there?,1,1,-1
5275733109,4,R the rest of you getting the flu shots? My sister got one in each arm  lol. She's a nurse so it's pretty wise4 her 2 do so. I think I will.,1,0,-1
5375418400,5,I was soo tired now I can't sleep! Not comfy enough! And I have a bad ear ache  knew I was getting the flu!!!,0,1,-1
5489991714,6,I am just relaxing  getting over a bad cold or maybe the flu.,0,1,-1
5571936300,7,off to bed now. my throat hurts like so much. thinking of getting a vaccination against swine flu... Emma,0,1,-1
5827313713,8,Remember getting the flu years ago? Doc wants ur temp  U open mouth  hre shakes head and says  drop em & bend over...,1,1,-1
5429084211,9,uconn shs=swine flu HQ. why am I here getting a physical?!,1,1,-1
5905662005,10,@chrispirillo bird flu I guess,0,0,1
5438111801,11,i'm getting sick. i hope i don't get the flu again.,0,1,-1
4342628412,12,Getting bloodwork done at a lab where even the nurses are coughing. The state rife with swine flu  yet I get stares for wearing paper mask,1,1,-1
5187862602,13,ugh why dont this flu just go away? I started getting better now its coming back..,0,1,1
26367941303,14,I think I'm getting the flu,0,1,-1
5094899800,15,getting my flu shots on this a.m.,1,1,1
5668954202,16,Ugh  sudden flu-like attack immobilized me today. Missed much fun goddammit. Wrote a bit at least  and getting back to lettering. Grrrr.,0,1,-1
5989718714,17,this flu season is a horrible. everyone is getting sick. makes you dislike winter that much more. winter is not fun when one has a cold.,0,0,1
5170372713,18,Got the flu after getting the flu shot. Wassup with that?,0,1,1
5431001203,19,makes you feel valued  when the rest of your family is getting a swine flu vaccine. not me though :D,1,0,-1
5323997313,20,Having the worst Halloween weekend! :( stuck at home with the flu!! :( boo...missing fear valley and hallelujah night!,0,1,1
5715378311,21,@pinkladyuk they sacked him... Oh no that's just wishful thinking. He's got a touch of flu and doc says no work. Talk about a brucie bonus!,0,0,1
9129205902,22,getting flu,0,1,1
5986140306,23,@saracrow Luck luck. I got mine Friday.  My arm wasn't as sore as years past.  Either I'm getting stronger or the flu is getting weaker.,1,1,-1
3690946707,24,glad i'm not in NC getting the swine flu,1,1,1
5845237909,25,@TraceyMmm I think I'll be okay  I'm just getting over this flu bug & it's trying to kill me.  But  I'm winning!,0,1,1
5375238300,26,I hadn't seriously worried about swine flu before now  but I'm at my doctor's office surrounded by people in masks. Feeling antsy.,1,1,1
5307039906,27,@ednascafe it is really starting to bring back bad and scary memories and worry forthis flu season ahead.,1,1,-1
5184372901,28,215 kids adbsent from my school today 45 went home early and 14 teachers are out. this swine flu thing is really getting out of control!,0,0,1
5346779304,29,@WorTony got the flu on the way home  so was wasted for a week  followed by 8 devs getting sacked @ work :-( #spc09,0,1,1
5440594100,30,Getting the Flu bug...,0,1,-1
5632295101,31,The missus was just getting over a nasty cold  and now I'm pretty sure she's come down with swine flu. Poor thing.,0,0,-1
5409374401,32,@lameymacdonald I'll dance 4 sunshine as well. Day was OK. My teen is sick now. Bit stressed and worried 4 her. Flu season early 4 us,0,1,-1
5576499405,33,I think im getting sick! Ugh i feel horrible! Hope it aint swine flu.,0,1,-1
5136392408,34,cannot receive the H1N1 nasal spray vaccine  because it can cause complications. In addition  GETTING SWINE FLU can KILL someone with asthma,1,1,-1
5404669306,35,doing well hope all are feeling well and not getting h1n1 swine flu at all,1,1,-1
5421580513,36,@secondglantz thanks. my first flu since getting diabetes and it's trickier than i thought.,0,1,1
5459992808,37,I'm definitely not feeling this bird flu,1,1,-1
5125669104,38,I am just getting over the flu (not H1N1). Wish I considered these tips a few weeks ago: URL flu in the left arm  H1N1 in the right. I get a flu shot because I have contact with so many people. Anxious about Lila and Mary.,1,1,-1
4731633910,40,getting my flu shot today. hope it works because I catch it every year!,1,1,-1
5623546103,41,Off to get my flu shot at our other office which means getting my favorite lunch on the way back  turkey tips from Floramo's!,1,1,1
4348879100,42,@Saramaria I'm just getting over being so sick  I think I had or have the flu :(,0,1,1
5453463812,43,getting ready to go to class. bo's sickness is on day 15. this flu is no joke  well it's bronchitis now.,0,0,1
5589823910,44,@stellar7 Glad to hear you are getting your strength back. Little guy had the piggy flu  all that remains is an occasional cough.,0,0,1
4709335305,45,Thinking about getting the H1N1 flu shot  anybody else done that yet?,1,1,-1
5275713810,46,@BBQmommy I heard that eating lots of BBQ from@BusterRhinosBBQ  prevents you getting the swine flu ; ),1,1,-1
4177789212,47,When can someone be infected with both swine flu and bird flu?  When pigs fly.,1,1,-1
5825225002,48,@SuperBadVixen U better take care of urself  go to the doctors...these flu and stuff is getting serious.,0,0,-1
5397291308,49,the Thought of the morning sunshine and Your sparkling face made me realize that this flu is just a flu..... and I am getting better now....,0,1,1
5849301300,50,Slowly getting the vocals back in shape after being sick from a bad cold (might have been a mild case of swine flu).,0,1,1
5486190902,51,Awww @DTruthMiza I'm just now getting over the Flu... Hope you feel better love.,0,1,-1
